COUNT,Temporary PoleId,Permanent,X,Y,Primary,Neutral,Secondary,Construction Primary,Type,Ht,Location,Phasing,Lat,Lon,Feeder,Remarks
496,ALA2941-20,ALA4653,43666678.75,5954689.502,2b,2b,2i,A1,W,30,South Ave. Pocal-pocal,B,16.14535183,119.9951409,6,
497,ALA2941-21,ALA4654,43666719.91,5954856.979,2b,2b,2i,A2,S,30,South Ave. Pocal-pocal,B,16.1457939,119.995254,6,
498,ALA2941-22,ALA4655,43666807.65,5955032.775,2b,2b,2i,A1,S,30,South Ave. Pocal-pocal,B,16.14625793,119.9954951,6,
499,ALA2941-23,ALA4656,43666874.57,5955160.057,2b,2b,2i,A1,W,30,South Ave. Pocal-pocal,B,16.1465939,119.995679,6,
500,ALA2941-24,ALA4657,43666934.25,5955308.247,2b,2b,2i,A1,W,30,South Ave. Pocal-pocal,B,16.14698506,119.995843,6,
501,ALA2941-25,ALA4658,43666988.84,5955448.353,2b,2b,2i,A1,W,30,South Ave. Pocal-pocal,B,16.14735488,119.995993,6,
502,ALA2941-26,ALA4659,43667059.72,5955586.262,2b,2b,2i,A1,W,30,South Ave. Pocal-pocal,B,16.1477189,119.9961878,6,
503,ALA2941-27,ALA4660,43667142.04,5955734.453,2b,2b,2i,A4/A5,C,30,South Ave. Pocal-pocal,B,16.14811006,119.996414,6,
504,ALA2941-28,ALA4661,43667255.98,5955675.663,2b,2b,2b,A1,C,30,West Ave. Pocal-pocal,B,16.14795488,119.9967271,6,
505,ALA2941-29,ALA4662,43667422.97,5955609.364,2b,2b,2b,A1,C,30,West Ave. Pocal-pocal,B,16.14777988,119.997186,6,
506,ALA2941-30,ALA4663,43667550.34,5955573.79,2b,2b,2b,A4,C,30,West Ave. Pocal-pocal,B,16.14768598,119.997536,6,
507,ALA2941-31,ALA4664,43667709.77,5955514.303,2b,2b,2b,A1,C,30,West Ave. Pocal-pocal,B,16.14752896,119.9979741,6,
508,ALA2941-32,ALA4665,43667886.15,5955462.443,2b,2b,2b,A2,C,30,West Ave. Pocal-pocal,B,16.14739207,119.9984588,6,
509,ALA2941-32-1,ALA4685,43667898.23,5955432.87,,1/0i,1/0i,J7,C,30,West Ave. Pocal-pocal,B,16.14731401,119.998492,6,
510,ALA2941-32-2,ALA4686,43667874.21,5955288.896,,1/0i,1/0i,J10,C,30,West Ave. Pocal-pocal,B,16.14693398,119.998426,6,
511,ALA2941-32-3,ALA4687,43667841.83,5955159.333,,1/0i,1/0i,J6,S,30,West Ave. Pocal-pocal,B,16.14659199,119.998337,6,
512,ALA2941-32-2-1,ALA4688,43667712.28,5955324.522,,1/0i,1/0i,J5/J8,S,30,West Ave. Pocal-pocal,B,16.14702802,119.997981,6,
513,ALA2941-32-2-2,ALA4689,43667548.52,5955360.502,,1/0i,1/0i,J6,S,30,West Ave. Pocal-pocal,B,16.14712299,119.997531,6,
514,ALA2941-33,ALA4666,43668024.83,5955427.217,2b,2b,2b,A1,C,30,West Ave. Pocal-pocal,B,16.14729909,119.9988399,6,
515,ALA2941-34,ALA4667,43668247.18,5955349.943,2b,2b,2b,A1,C,30,West Ave. Pocal-pocal,B,16.14709512,119.9994509,6,
516,ALA2941-35,ALA4668,43668473.53,5955300.625,2b,2b,2b,A6,C,30,West Ave. Pocal-pocal,B,16.14696494,120.0000729,6,
517,ALA2941-36,ALA4669,43668735.9,5955254.076,2b,2b,2b,A2,C,30,West Ave. Pocal-pocal,B,16.14684207,120.0007939,6,
518,ALA2941-37,ALA4670,43669027.02,5955203.719,2b,2b,2b,A2,S,30,West Ave. Pocal-pocal,B,16.14670915,120.0015939,6,
519,ALA2941-38,ALA4671,43669382.96,5955305.936,2b,2b,2b,A1,S,30,West Ave. Pocal-pocal,B,16.14697896,120.002572,6,
520,ALA2941-39,ALA4672,43669630.01,5955435.533,2b,2b,2b,A1,C,30,West Ave. Pocal-pocal,B,16.14732104,120.0032509,6,
521,ALA2941-40,ALA4673,43669758.14,5955519.27,1/0b,1/0b,1/0i,A6,C,30,West Ave. Pocal-pocal,B,16.14754207,120.003603,6,
522,ALA2941-42,ALA4690,43669859.34,5955864.74,,2b,2b,J10,S,30,West Ave. Pocal-pocal,B,16.14845396,120.0038811,6,
523,ALA2941-43,ALA4691,43669965.53,5955989.023,,2b,2b,J5/J8,S,30,West Ave. Pocal-pocal,B,16.14878201,120.0041729,6,
524,ALA2941-44,ALA4692,43670079.14,5956104.527,,2b,2b,J6,S,30,West Ave. Pocal-pocal,B,16.14908689,120.0044851,6,
525,ALA2941-45,ALA4674,43670001.92,5955684.093,1/0b,1/0b,1/0i,A2,S,30,West Ave. Pocal-pocal,B,16.14797713,120.0042729,6,
526,ALA2941-46,ALA4675,43670172.99,5955788.277,1/0b,1/0b,1/0i,A2,S,30,West Ave. Pocal-pocal,B,16.14825213,120.004743,6,
527,ALA2941-47,ALA4676,43670362.15,5955912.097,1/0b,1/0b,1/0i,A2,S,30,West Ave. Pocal-pocal,B,16.14857896,120.0052628,6,
528,ALA2941-48,ALA4677,43670565.28,5956037.883,1/0b,1/0b,1/0i,A1,S,30,West Ave. Pocal-pocal,B,16.14891098,120.005821,6,
529,ALA2941-49,ALA4678,43670773.76,5956132.941,1/0b,1/0b,1/0i,A1,S,30,West Ave. Pocal-pocal,B,16.14916189,120.0063939,6,
530,ALA2941-50,ALA4679,43670986.68,5956252.719,1/0b,1/0b,1/0i,A5,S,30,West Ave. Pocal-pocal,B,16.14947805,120.006979,6,
531,ALA2941-51,ALA4680,43671241.74,5956312.896,,1/0b,1/0i,J10,S,30,West Ave. Pocal-pocal,B,16.14963689,120.0076799,6,
532,ALA2941-52,ALA4681,43671455.43,5956435.679,,1/0b,1/0i,J10,S,30,West Ave. Pocal-pocal,B,16.14996098,120.0082671,6,
533,ALA2941-53,ALA4682,43671629.7,5956508.791,,1/0b,1/0i,J10,S,30,West Ave. Pocal-pocal,B,16.15015396,120.008746,6,
534,ALA2941-54,ALA4683,43671842.29,5956597.037,,1/0b,1/0i,J5/J8,S,30,West Ave. Pocal-pocal,B,16.15038689,120.0093302,6,
535,ALA2941-55,ALA4684,43671991.86,5956663.799,,1/0b,1/0i,J6,S,30,West Ave. Pocal-pocal,B,16.15056311,120.0097412,6,
536,ALA2941-56,ALA4726,43667149.24,5955877.216,,2b,2b,J5/J8,C,25,South Ave. Pocal-pocal,B,16.14848689,119.9964338,6,
537,ALA2941-57,ALA4727,43667224.24,5956028.412,,2b,2b,J5/J8,S,25,South Ave. Pocal-pocal,B,16.14888598,119.9966399,6,
538,ALA2941-58,ALA4728,43667285.05,5956174.638,,2b,2b,J5/J8,W,25,South Ave. Pocal-pocal,B,16.14927195,119.996807,6,
539,ALA2941-59,ALA4729,43667356.38,5956364.875,,2b,2b,J6/J15,W,25,South Ave. Pocal-pocal,B,16.14977409,119.997003,6,
540,ALA2941-60,ALA4730,43667441.17,5956501.285,,2b,2b,J6/J6,S,30,South Ave. Pocal-pocal,B,16.15013415,119.997236,6,
541,ALA2941-61,ALA4731,43667523.81,5956495.508,,2b,2b,J6/J6,S,30,South Ave. Pocal-pocal,B,16.1501189,119.9974631,6,
542,ALA2941-62,ALA4732,43667629.67,5956725.939,,2b,2b,J5/J8,S,30,South Ave. Pocal-pocal,B,16.15072713,119.997754,6,
543,ALA2941-63,ALA4733,43667726.83,5956994.143,,2b,2b,J5/J8,S,30,South Ave. Pocal-pocal,B,16.15143506,119.998021,6,
544,ALA2941-64,ALA4734,43667809.84,5957232.085,,2b,2b,J6,S,30,pocal pocal,B,16.15206311,119.9982491,6,
545,ALA2941-65,ALA4693,43666970.31,5955777.998,2b,2b,2i,A1,C,30,Pocal-pocal,B,16.148225,119.9959421,6,
546,ALA2941-66,ALA4694,43666841.82,5955828.704,2b,2b,2i,A1,C,30,Pocal-pocal,B,16.14835884,119.995589,6,
547,ALA2941-67,ALA4695,43666694.84,5955903.088,2b,2b,2i,A1,C,30,Pocal-pocal,B,16.14855518,119.9951851,6,
548,ALA2941-68,ALA4696,43666592.54,5955766.216,,2b,2b,J5/J8,S,30,Pocal-pocal,B,16.1481939,119.994904,6,
549,ALA2941-69,ALA4697,43666497.57,5955626.803,,2b,2b,J5/J8,S,30,Pocal-pocal,B,16.14782591,119.994643,6,
550,ALA2941-70,ALA4698,43666421.91,5955492.705,,2b,2b,J6,S,30,Pocal-pocal,B,16.14747195,119.9944351,6,
551,ALA2941-71,ALA4699,43666548.48,5955953.448,2b,2b,2i,A1,C,30,Pocal-pocal,B,16.14868811,119.9947829,6,
552,ALA2941-72,ALA4700,43666404.04,5956003.809,2b,2b,2i,A1,C,30,Pocal-pocal,B,16.14882104,119.994386,6,
553,,ALA4701,43666425.51,5956079.186,,2dplx,2dplx,J6,S,25,,B,16.14902,119.994445,6,
554,ALA2941-73,ALA4702,43666280.68,5956038.69,2b,2b,2i,A1,C,30,Pocal-pocal,B,16.14891311,119.994047,6,
555,ALA2941-74,ALA4703,43666086.72,5956137.214,2b,2b,2i,A4,C,30,Pocal-pocal,B,16.14917317,119.993514,6,
556,ALA2941-75,ALA4704,43666159.83,5956287.6,2b,2b,2b,A1,C,30,Pocal-pocal,B,16.14957012,119.9937149,6,
557,ALA2941-76,ALA4705,43666230.86,5956413.384,2b,2b,2b,A2,C,30,Pocal-pocal,B,16.14990213,119.9939101,6,
558,ALA2941-77,ALA4706,43666305.39,5956569.085,2b,2b,2b,A1,C,30,Pocal-pocal,B,16.15031311,119.9941149,6,
559,ALA2941-78,ALA4707,43666365.1,5956669.804,2b,2b,2b,A1,C,30,Pocal-pocal,B,16.15057896,119.994279,6,
560,ALA2941-79,ALA4708,43666435.34,5956778.149,2b,2b,2b,A5,C,30,Pocal-pocal,B,16.15086494,119.994472,6,
561,,ALA4709,43666555.61,5956804.245,,1/0b,1/0i,J10,S,30,Pocal-pocal,B,16.15093382,119.9948025,6,NEW POLE
562,,ALA4710,43666655.5,5956695.96,,1/0b,1/0i,J10,S,30,Pocal-pocal,B,16.150648,119.995077,6,NEW POLE
563,,ALA4711,43666781.05,5956587.986,,1/0b,1/0i,J10,S,30,Pocal-pocal,B,16.150363,119.995422,6,NEW POLE
564,,ALA4712,43666866.93,5956540.63,,1/0b,1/0i,J14X,S,30,Pocal-pocal,B,16.150238,119.995658,6,NEW POLE
565,,ALA4713,43666910.16,5956524.543,,1/0b,1/0i,J6/J15/J6,S,30,Pocal-pocal,B,16.15019554,119.9957768,6,NEW POLE
566,,ALA4714,43666858.56,5956394.392,,1/0b,1/0i,J6,S,30,Pocal-pocal,B,16.149852,119.995635,6,NEW POLE
571,ALA2941-84,ALA4715,43665974.24,5956169.788,,2b,2i,J6/J15,S,25,Pocal-pocal,B,16.14925915,119.9932049,6,
572,ALA2941-85,ALA4716,43665807.24,5956208.018,,2b,2i,J5,W,25,Pocal-pocal,B,16.14936006,119.992746,6,
573,ALA2941-86,ALA4717,43665633.29,5956232.966,,2b,2i,J5,S,25,Pocal-pocal,B,16.14942591,119.992268,6,
574,ALA2941-87,ALA4718,43665565.94,5956259.88,,2b,2i,J5/J15,S,25,Pocal-pocal,B,16.14949695,119.9920829,6,
575,ALA2941-87-1,ALA4719,43665599.45,5956427.708,,2b,2i,J5,S,25,Pocal-pocal,B,16.14993994,119.992175,6,
576,ALA2941-87-2,ALA4720,43665763.21,5956687.94,,2b,2i,J6,S,25,Pocal-pocal,B,16.15062683,119.992625,6,
