Count,Feeder,PoleId,Permanent Pole ID,Primary,Neutral,Secondary,Construction Primary,Type,Ht,X,Y,Lat,Lon,Location,Phasing,"Length, Primary",Old Id,Remarks
2339,4,ALA1380-1-L6,ALA4340,,2b,2b,J6,S,30,43664633.32,5960996.855,16.162,119.9895201,"STA. MARIA, BUED",B,,,
2340,4,ALA1381-02-1,ALA4341,2b,2b,2b,A6,C,30,43664622.73,5962020.975,16.16470302,119.989491,Sta Maria Bued,B,,,
2341,4,ALA1381-02-2,ALA4342,2b,2b,2b,A2,C,30,43664545.59,5961909.951,16.16440999,119.989279,Sta Maria Bued,B,,,
2342,4,ALA1381-02-3,ALA4343,2b,2b,2b,A1,C,30,43664452.06,5961802.739,16.16412702,119.989022,Sta Maria Bued,B,,,
2343,4,ALA1381-02-4,ALA4344,2b,2b,2b,A5,C,30,43664350.53,5961680.728,16.16380499,119.988743,Sta Maria Bued,B,,,
2344,4,ALA1381-02-5,ALA4345,,2b,2b,J6J6,S,25,43664255.92,5961600.413,16.16359301,119.988483,Sta Maria Bued,B,,,
2345,4,ALA1381-02-6,ALA4346,,2b,2b,J8J5,S,25,43664145.29,5961691.333,16.16383298,119.988179,Sta Maria Bued,B,,,
2346,4,ALA1381-02-7,ALA4347,,2b,2b,J6,S,25,43664051.77,5961767.109,16.16403298,119.987922,Sta Maria Bued,B,,,
2347,4,ALA1381-02-4-L1,ALA4348,,2b,2b,J6,C,25,43664465.53,5961587.137,16.16355797,119.989059,Sta Maria Bued,B,,,
2348,4,ALA1381-02-4-R1,ALA4349,,2b,2b,J8J5,S,25,43664233.36,5961776.604,16.16405804,119.988421,Sta Maria Bued,B,,,
2349,4,ALA1381-02-4-R2,ALA4350,,2b,2b,J6,S,25,43664110.72,5961855.775,16.164267,119.988084,Sta Maria Bued,B,,,
2350,4,ALA1381-05,ALA4351,,2b,1/0i,J8J5,S,30,43664371.28,5962262.305,16.16533997,119.9888,Sta Maria Bued,B,,,
2351,4,ALA1381-06,ALA4352,,2b,1/0i,J8J5,S,30,43664245.73,5962127.047,16.16498298,119.988455,Sta Maria Bued,B,,,
2352,4,ALA1381-07,ALA4353,,2b,1/0i,J6,S,30,43664099.44,5961959.971,16.16454201,119.988053,Sta Maria Bued,B,,,
2353,4,ALA1381-09-1,ALA1387,2b,2b,1/0b,A6,C,30,43664085.98,5962487.37,16.16593399,119.988016,Sta Maria Bued,B,,,
2354,4,ALA1381-09-2,ALA1388,2b,2b,1/0b,A1,C,30,43663961.16,5962321.437,16.16549604,119.987673,Sta Maria Bued,B,,,
2355,4,ALA1381-09-3,ALA1389,2b,2b,1/0b,A1,C,30,43663864.72,5962172.142,16.165102,119.987408,Sta Maria Bued,B,,,
2356,4,ALA1381-09-4,ALA4354,2b,2b,2b,A2,C,30,43663763.19,5962055.052,16.16479296,119.987129,Sta Maria Bued,B,,,
2357,4,ALA1381-09-5,ALA4355,2b,2b,2b,A5,S,30,43663623.82,5961916.779,16.16442801,119.986746,Sta Maria Bued,B,,,
2358,4,ALA1381-09-6,ALA4356,,2b,2b,J10,C,25,43663573.6,5961859.935,16.16427798,119.986608,Sta Maria Bued,B,,,
2359,4,ALA1381-09-7,ALA4357,,2b,2b,J6,C,25,43663527.02,5961687.173,16.163822,119.98648,Sta Maria Bued,B,,,
2360,4,ALA1381-09-5-1,ALA4358,,2b,2b,J10,S,25,43663755.19,5961765.233,16.16402803,119.987107,Sta Maria Bued,B,,,
2361,4,ALA1381-09-5-2,ALA4359,,2b,2b,J10,S,25,43663769.02,5961657.226,16.16374296,119.987145,Sta Maria Bued,B,,,
2362,4,ALA1381-09-5-3,ALA4360,,2b,2b,J10,S,25,43663840.7,5961529.941,16.16340701,119.987342,Sta Maria Bued,B,,,
